backend,codec,Nx,Ny,Nz,Nt,total_bytes,on_disk_bytes,repeat,write_sec,read_sec,write_MBps,read_MBps,julia_threads,rayon_threads
zarrsjl,none,512,512,64,50,3355443200,3355443901,3,2.325075708,1.520458625,1376.2992701655287,2104.6281348168877,1,1
zarrjl_propA,none,64,64,16,50,13107200,13107385,1,0.016090625,0.014244083,776.8498737618954,877.5573689089007,1,1
zarrjl_propA,none,64,64,16,50,13107200,13107385,2,0.015565709,0.011116458,803.0472624150946,1124.4588878939678,1,1
zarrjl_propA,none,64,64,16,50,13107200,13107385,3,0.016575667,0.00788675,754.117466283559,1584.9367610232352,1,1
zarrjl_propA,none,128,128,16,50,52428800,52428989,1,0.039063292,0.02486425,1279.9740482701766,2010.9192917542255,1,1
zarrjl_propA,none,128,128,16,50,52428800,52428989,2,0.042912458,0.025613333,1165.1628065677337,1952.1083023439394,1,1
zarrjl_propA,none,128,128,16,50,52428800,52428989,3,0.13976925,0.029557042,357.73247692178353,1691.6442450499615,1,1
zarrjl_propA,none,128,128,32,50,104857600,104857789,1,0.085301208,0.152063666,1172.3163404673003,657.6192895415267,1,1
zarrjl_propA,none,128,128,32,50,104857600,104857789,2,0.074701791,0.059887208,1338.6559901890437,1669.805678701869,1,1
zarrjl_propA,none,128,128,32,50,104857600,104857789,3,0.080689042,0.061207125,1239.3256571319807,1633.7967189277392,1,1
zarrjl_propA,none,256,256,16,50,209715200,209715389,1,0.145016375,0.194023792,1379.154595472408,1030.8014184157373,1,1
zarrjl_propA,none,256,256,16,50,209715200,209715389,2,0.146244334,0.206524667,1367.5743499231908,968.4073234699854,1,1
zarrjl_propA,none,256,256,16,50,209715200,209715389,3,0.151834417,0.19862975,1317.2244076914392,1006.8985134402072,1,1
zarrjl_propA,none,256,256,32,50,419430400,419430589,1,0.292633791,0.298330834,1366.8961422161942,1340.7933556073524,1,1
zarrjl_propA,none,256,256,32,50,419430400,419430589,2,0.389962917,0.306579125,1025.7385575972598,1304.7202740891116,1,1
zarrjl_propA,none,256,256,32,50,419430400,419430589,3,0.289965167,0.286429916,1379.4760389271169,1396.5021726292025,1,1
zarrjl_propA,none,256,256,64,50,838860800,838860989,1,0.585527917,0.615590375,1366.2883985085891,1299.5654780989712,1,1
zarrjl_propA,none,256,256,64,50,838860800,838860989,2,0.585459291,0.631385333,1366.4485512452136,1267.055090112459,1,1
zarrjl_propA,none,256,256,64,50,838860800,838860989,3,0.630626042,0.626918416,1268.5806590905104,1276.0831068009334,1,1
zarrjl_propA,none,512,512,32,50,1677721600,1677721789,1,1.266433,1.076112542,1263.3909571213005,1486.8333353185656,1,1
zarrjl_propA,none,512,512,32,50,1677721600,1677721789,2,1.373683333,1.053716125,1164.7517019120737,1518.435527405448,1,1
zarrjl_propA,none,512,512,32,50,1677721600,1677721789,3,1.277549917,1.033801,1252.3972478172843,1547.6866437544556,1,1
zarrjl_propA,none,512,512,64,20,1342177280,1342177469,1,1.010941958,0.999786625,1266.1458849054911,1280.2731782894175,1,1
zarrjl_propA,none,512,512,64,20,1342177280,1342177469,2,1.009814083,0.916852792,1267.5600603601406,1396.0801681236524,1,1
zarrjl_propA,none,512,512,64,20,1342177280,1342177469,3,1.024843042,1.102918875,1248.9717425431863,1160.5567997918251,1,1
zarrjl_propA,none,512,512,64,50,3355443200,3355443389,1,2.426898875,2.196411167,1318.5551458133993,1456.9221137091406,1,1
zarrjl_propA,none,512,512,64,50,3355443200,3355443389,2,2.341818583,2.050838458,1366.4593932381483,1560.337425659881,1,1
zarrjl_propA,none,512,512,64,50,3355443200,3355443389,3,2.372401792,2.055835958,1348.8440325710226,1556.5444254185966,1,1
zarrjl_propB,none,64,64,16,50,13107200,13107385,1,0.037193375,0.008726917,336.0813585752839,1432.3500498515111,1,1
zarrjl_propB,none,64,64,16,50,13107200,13107385,2,0.0316855,0.008028333,394.5022171024601,1556.9857403772364,1,1
zarrjl_propB,none,64,64,16,50,13107200,13107385,3,0.030199042,0.007340583,413.9204150913132,1702.862020632421,1,1
zarrjl_propB,none,128,128,16,50,52428800,52428989,1,0.107958,0.029379083,463.14307415846906,1701.8911039531083,1,1
zarrjl_propB,none,128,128,16,50,52428800,52428989,2,0.103534667,0.123642959,482.9300315419955,404.3901925705288,1,1
zarrjl_propB,none,128,128,16,50,52428800,52428989,3,0.106901,0.03505975,467.722472193899,1426.1368093041165,1,1
zarrjl_propB,none,128,128,32,50,104857600,104857789,1,0.290222167,0.067025459,344.5636183951449,1491.970386954008,1,1
zarrjl_propB,none,128,128,32,50,104857600,104857789,2,0.19987875,0.056983041,500.3033088810091,1754.908096252708,1,1
zarrjl_propB,none,128,128,32,50,104857600,104857789,3,0.209825667,0.146372167,476.58611756015534,683.189994720786,1,1
zarrjl_propB,none,256,256,16,50,209715200,209715389,1,0.399779958,0.12109975,500.2752038910365,1651.5310725249226,1,1
zarrjl_propB,none,256,256,16,50,209715200,209715389,2,0.473393708,0.135913834,422.4813228823058,1471.5205517637005,1,1
zarrjl_propB,none,256,256,16,50,209715200,209715389,3,0.472343708,0.11718025,423.420480918103,1706.7722589770888,1,1
zarrjl_propB,none,256,256,32,50,419430400,419430589,1,0.906736792,0.316233583,441.14235082235416,1264.8877965627073,1,1
zarrjl_propB,none,256,256,32,50,419430400,419430589,2,0.770310625,0.307207667,519.2710408220061,1302.0508371622118,1,1
zarrjl_propB,none,256,256,32,50,419430400,419430589,3,0.869225459,0.312295,460.1798024417966,1280.8402311916618,1,1
zarrjl_propB,none,256,256,64,50,838860800,838860989,1,1.600740875,0.735915166,499.76858371908565,1087.0818226893289,1,1
zarrjl_propB,none,256,256,64,50,838860800,838860989,2,1.595113708,0.7593195,501.53164378673875,1053.5749444074595,1,1
zarrjl_propB,none,256,256,64,50,838860800,838860989,3,1.594626,0.73694325,501.6850346099963,1085.5652724955414,1,1
zarrjl_propB,none,512,512,32,50,1677721600,1677721789,1,3.462863125,1.360592208,462.04540642939793,1175.9585205562196,1,1
zarrjl_propB,none,512,512,32,50,1677721600,1677721789,2,3.362819667,1.451293958,475.791198588824,1102.464453310981,1,1
zarrjl_propB,none,512,512,32,50,1677721600,1677721789,3,3.37620975,1.455187584,473.90420574432613,1099.5146038849107,1,1
zarrjl_propB,none,512,512,64,20,1342177280,1342177469,1,2.737680625,1.183912583,467.5490589776154,1081.1609052726826,1,1
zarrjl_propB,none,512,512,64,20,1342177280,1342177469,2,2.742522375,1.197589792,466.7236306504154,1068.8133854768193,1,1
zarrjl_propB,none,512,512,64,20,1342177280,1342177469,3,2.76405825,1.19210125,463.0872015812257,1073.7342989951567,1,1
zarrjl_propB,none,512,512,64,50,3355443200,3355443389,1,6.677780375,2.622688666,479.20114473665956,1220.1219464148169,1,1
zarrjl_propB,none,512,512,64,50,3355443200,3355443389,2,6.789311917,2.609689958,471.3290594275697,1226.1993001085839,1,1
zarrjl_propB,none,512,512,64,50,3355443200,3355443389,3,6.802498459,2.638061,470.41539506212774,1213.0121327747918,1,1
